Film.Ratings.Link,film.title,Year,runtime,Director,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating
https://letterboxd.com/csi/film/streamers/rating-histogram/,Streamers,1983,118,Robert Altman,English,USA,6,16,23,74,84,209,150,123,24,17,3.097107438
https://letterboxd.com/csi/film/stree/rating-histogram/,Stree,2018,128,Amar Kaushik,Hindi,India,27,45,43,178,313,918,940,643,98,100,3.273373676
https://letterboxd.com/csi/film/street-fighter-alpha-the-movie/rating-histogram/,Street Fighter Alpha: The Movie,1999,100,Shigeyasu Yamauchi,Japanese,Japan,11,40,50,145,152,215,89,60,6,14,2.664961637
https://letterboxd.com/csi/film/street-fighter-ii-the-animated-movie/rating-histogram/,Street Fighter II: The Animated Movie,1994,102,Gisaburō Sugii,Japanese,Japan,13,35,57,182,340,861,699,534,92,146,3.26140588
https://letterboxd.com/csi/film/street-fighter-the-legend-of-chun-li/rating-histogram/,Street Fighter: The Legend of Chun-Li,2009,97,Andrzej Bartkowiak,English,Canada,780,990,459,407,178,157,35,27,6,17,1.355039267
https://letterboxd.com/csi/film/street-fighter/rating-histogram/,Street Fighter,1994,102,Steven E. de Souza,English,Japan,1388,3442,2851,4913,2468,2600,867,641,91,265,2.025069139
https://letterboxd.com/csi/film/street-kings/rating-histogram/,Street Kings,2008,109,David Ayer,English,USA,55,234,340,1347,1660,3337,1996,1012,144,156,2.926612197
https://letterboxd.com/csi/film/street-smart/rating-histogram/,Street Smart,1987,97,Jerry Schatzberg,English,USA,2,6,28,103,132,451,352,143,24,13,3.122009569
https://letterboxd.com/csi/film/street-trash/rating-histogram/,Street Trash,1987,100,J. Michael Muro,English,USA,186,384,380,950,968,1939,1509,1292,287,502,3.029057997
https://letterboxd.com/csi/film/streetdance-2/rating-histogram/,StreetDance 2,2012,85,Max Giwa,English,UK,42,78,93,194,161,167,63,57,13,34,2.446784922
https://letterboxd.com/csi/film/streetdance-3d/rating-histogram/,StreetDance 3D,2010,98,Max Giwa,English,UK,53,96,110,243,225,292,118,104,27,54,2.596444781
https://letterboxd.com/csi/film/stretch-2014/rating-histogram/,Stretch,2014,94,Joe Carnahan,English,USA,46,165,211,570,869,1858,1491,795,150,91,3.029058598
